id,localizacion,latitud,longitud,magnitud,time,profundidad,mes,ano,estado,estatus,hora,minuto
1,71 km al NOROESTE de AUTLAN DE NAVARRO,20,-105,7.4,14:30:44,33,1,1900,JAL,revisado,0,33
2,71 km al NOROESTE de AUTLAN DE NAVARRO,20,-105,6.9,21:52:02,33,5,1900,JAL,revisado,14,12
3,100 km al NORESTE de LA PAZ,25,-110,6.9,19:22:16,33,3,1901,BCS,revisado,4,45
4,83 km al OESTE de AHOME,26,-110,7,03:03:34,33,12,1901,SIN,revisado,20,17
5,21 km al OESTE de ZUMPANGO DEL RIO,17.62,-99.72,7,17:46:01,33,1,1902,GRO,revisado,17,19
6,72 km al ESTE de CACAHOATAN,14.9,-91.5,7.5,23:08:21,25,4,1902,CHIS,revisado,20,23
7,5 km al SUROESTE de TEOPISCA,16.5,-92.5,7.7,20:52:15,25,9,1902,CHIS,revisado,14,18
8,115 km al NORTE de GUERRERO NEGRO,29,-114,7.1,04:44:42,33,12,1902,BCS,revisado,17,10
9,50 km al SUR de MAPASTEPEC,15,-93,7.6,19:30:36,33,1,1903,CHIS,revisado,19,47
10,320 km al SUR de CABO SAN LUCAS,20,-110,6.6,23:28:51,33,10,1905,BCS,revisado,11,40
11,727 km al SUROESTE de CABO SAN LUCAS,17,-113,7.1,03:46:06,33,12,1905,BCS,revisado,23,27
12,320 km al SUR de CABO SAN LUCAS,20,-110,7.1,22:52:20,33,4,1906,BCS,revisado,15,18
13,23 km al SURESTE de SAN MARCOS,16.7,-99.2,7.6,20:17:13,33,4,1907,GRO,revisado,0,8
14,77 km al NOROESTE de SANTA ROSALIA,28,-112.5,7.1,10:29:03,10,10,1907,BCS,revisado,8,57
15,23 km al SURESTE de SAN MARCOS,16.7,-99.2,7.5,21:33:21,33,3,1908,GRO,revisado,17,3
16,46 km al SUROESTE de TECPAN,17,-101,7,11:17:56,33,3,1908,GRO,revisado,21,45
17,23 km al ESTE de LAS GUACAMAYAS,18,-102,6.9,22:19:51,33,10,1908,MICH,revisado,23,6
18,8 km al SUR de ACAPULCO,16.8,-99.9,7.2,14:17:54,33,7,1909,GRO,revisado,4,51
19,20 km al SUROESTE de SAN MARCOS,16.62,-99.45,6.9,04:30:43,33,7,1909,GRO,revisado,12,43
20,42 km al SURESTE de ACAPULCO,16.53,-99.72,6.6,10:30:33,33,9,1909,GRO,revisado,5,17
21,60 km al SUR de PETATLAN,17,-101.2,6.9,20:13:59,33,10,1909,GRO,revisado,4,23
22,23 km al SURESTE de SAN MARCOS,16.7,-99.2,6.5,23:13:50,33,5,1910,GRO,revisado,22,19
23,65 km al SURESTE de TLACOLULA,16.77,-95.9,6.9,01:06:56,80,9,1910,OAX,revisado,21,32
24,19 km al ESTE de H HUAJUAPAN DE LEON,17.8,-97.6,6.5,06:47:57,80,2,1911,OAX,revisado,14,41
25,59 km al SUROESTE de CD LAZARO CARDENAS,17.5,-102.5,7.6,21:21:46,33,6,1911,MICH,revisado,5,2
26,51 km al ESTE de TLACOLULA,17,-96,6.7,0.207847222,100,8,1911,OAX,revisado,4,59
27,36 km al SUR de TECPAN,16.9,-100.7,7.5,0.551597222,50,12,1911,GRO,revisado,13,14
28,15 km al NORESTE de ATLACOMULCO,19.93,-99.83,6.9,0.32994213,33,11,1912,MEX,revisado,7,55
29,13 km al NOROESTE de MAPASTEPEC,15.5,-93,7,0.105833333,33,12,1912,CHIS,revisado,2,32
30,14 km al NORESTE de OCOSINGO,17,-92,7.2,0.778680556,150,3,1914,CHIS,revisado,18,41
31,348 km al ESTE de CD HIDALGO,14,-89,7.4,0.806111111,80,9,1915,CHIS,revisado,19,20
32,33 km al SURESTE de GPE VICTORIA(KM.43),32,-115,7,0.759282407,10,11,1915,BC,revisado,18,13
33,42 km al SUR de SAYULA DE ALEMAN,17.5,-95,7,0.332916667,150,6,1916,VER,revisado,7,59
34,43 km al SUROESTE de TELOLOAPAN,18,-100,6.8,0.017638889,33,11,1916,GRO,revisado,0,25
35,96 km al SUR de PUERTO ESCONDIDO,15,-97,6.9,0.70162037,33,12,1917,OAX,revisado,16,50
36,102 km al SUR de H GUAYMAS,27,-111,6.8,0.248263889,33,5,1918,SON,revisado,5,57
37,17 km al SUROESTE de COALCOMAN,18.7,-103.3,6.6,0.643819444,33,6,1918,MICH,revisado,15,27
38,48 km al SURESTE de CD HIDALGO,14.5,-91.75,6.9,0.620173611,33,4,1919,CHIS,revisado,14,53
39,13 km al NORTE de HUATUSCO,19.27,-96.97,6.4,0.931898148,10,1,1920,VER,revisado,22,21
