id,localizacion,latitud,longitud,magnitud,time,profundidad,mes,ano,estado,estatus,hora,minuto,lugar
6,72 km al ESTE de CACAHOATAN,14.9,-91.5,7.5,0.964131944,25,4,1902,Chiapas,revisado,20,23,Chiapas (1902)
7,5 km al SUROESTE de TEOPISCA,16.5,-92.5,7.7,0.869618056,25,9,1902,Chiapas,revisado,14,18,Chiapas (1902)
9,50 km al SUR de MAPASTEPEC,15,-93,7.6,0.812916667,33,1,1903,Chiapas,revisado,19,47,Chiapas (1903)
13,23 km al SURESTE de SAN MARCOS,16.7,-99.2,7.6,0.845289352,33,4,1907,Guerrero,revisado,0,8,Guerrero (1907)
15,23 km al SURESTE de SAN MARCOS,16.7,-99.2,7.5,0.898159722,33,3,1908,Guerrero,revisado,17,3,Guerrero (1908)
25,59 km al SUROESTE de CD LAZARO CARDENAS,17.5,-102.5,7.6,0.890115741,33,6,1911,Michoacan,revisado,5,2,Michoacan (1911)
27,36 km al SUR de TECPAN,16.9,-100.7,7.5,0.551597222,50,12,1911,Guerrero,revisado,13,14,Guerrero (1911)
48,12 km al SURESTE de CRUCECITA,15.67,-96.1,7.5,0.928819444,33,3,1928,Oaxaca,revisado,22,17,Oaxaca (1928)
50,11 km al OESTE de MIAHUATLAN,16.33,-96.7,7.6,0.888518519,33,6,1928,Oaxaca,revisado,21,19,Oaxaca (1928)
52,35 km al NORESTE de RIO GRANDE,16.3,-97.3,7.5,0.875787037,33,10,1928,Oaxaca,revisado,21,1,Oaxaca (1928)
54,30 km al OESTE de MIAHUATLAN,16.34,-96.87,7.8,0.826851852,40,1,1931,Oaxaca,revisado,19,50,Oaxaca (1931)
55,4 km al SURESTE de CASIMIRO CASTILLO,19.57,-104.42,8.2,0.192268519,33,6,1932,Jalisco,revisado,4,36,Jalisco (1932)
56,14 km al SUROESTE de TUXPAN,19.5,-103.5,7.8,0.175115741,33,6,1932,Jalisco,revisado,4,12,Jalisco (1932)
77,25 km al NORESTE de COALCOMAN,18.85,-102.94,7.6,0.548506944,33,4,1941,Michoacan,revisado,13,9,Michoacan (1941)
79,93 km al ESTE de CD HIDALGO,14.8,-91.3,7.9,0.734016204,50,8,1942,Chiapas,revisado,17,36,Chiapas (1942)
111,47 km al NORESTE de SAN MARCOS,17.11,-99.1,7.8,0.111226852,33,7,1957,Guerrero,revisado,2,40,Guerrero (1957)
135,43 km al SURESTE de COALCOMAN,18.412,-103.019,7.6,0.625833333,24,1,1973,Michoacan,revisado,15,1,Michoacan (1973)
200,319 km al ESTE de FRONTERA COMALAPA,15.262,-89.198,7.5,0.126226852,13,2,1976,Chiapas,revisado,3,1,Chiapas (1976)
260,32 km al NOROESTE de S PEDRO POCHUTLA,16.013,-96.586,7.6,0.578356481,23,11,1978,Oaxaca,revisado,13,52,Oaxaca (1978)
497,45 km al NOROESTE de LA MIRA,18.419,-102.468,8.1,0.304039352,15,9,1985,Michoacan,revisado,7,17,Michoacan (1985)
499,25 km al NOROESTE de ZIHUATANEJO,17.828,-101.681,7.6,0.817523148,17,9,1985,Guerrero,revisado,19,37,Guerrero (1985)
799,10 km al SURESTE de MANZANILLO,18.993,-104.245,8,0.399930556,25,10,1995,Colima,revisado,9,35,Colima (1995)
1041,46 km al SUROESTE de CD DE ARMERIA,18.6,-104.22,7.6,0.837893519,9,1,2003,Colima,revisado,20,6,Colima (2003)
1293,46 km al SUR de OMETEPEC,16.264,-98.457,7.5,0.501944444,18,3,2012,Guerrero,revisado,12,2,Guerrero (2012)
1533,140 km al SUROESTE de PIJIJIAPAN,14.761,-94.103,8.2,0.99255787,45.9,9,2017,Chiapas,revisado,23,49,Chiapas (2017)
