ano,BC,BCS,CHIH,CHIS,COL,GRO,HGO,JAL,MEX,MICH,NAY,OAX,PUE,QR,SIN,SON,VER
1900,,,,,,,,2,,,,,,,,,
1901,,1,,,,,,,,,,,,,1,,
1902,,1,,2,,1,,,,,,,,,,,
1903,,,,1,,,,,,,,,,,,,
1905,,2,,,,,,,,,,,,,,,
1906,,1,,,,,,,,,,,,,,,
1907,,1,,,,1,,,,,,,,,,,
1908,,,,,,2,,,,1,,,,,,,
1909,,,,,,4,,,,,,,,,,,
1910,,,,,,1,,,,,,1,,,,,
1911,,,,,,1,,,,1,,2,,,,,
1912,,,,1,,,,,1,,,,,,,,
1914,,,,1,,,,,,,,,,,,,
1915,1,,,1,,,,,,,,,,,,,
1916,,,,,,1,,,,,,,,,,,1
1917,,,,,,,,,,,,1,,,,,
1918,,,,,,,,,,1,,,,,,1,
1919,,,,1,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,2
1921,,,,1,,,,,,1,,,,,,,
1922,,,,,,,,,,,,,,,1,,
1925,,,,1,,,,1,,1,,,,,,,
1928,,,,,,,,,,,,5,1,,,,
1931,,,,,,,,1,,,,1,,,,,
1932,,,,,3,,,2,,,,,,,,2,
1933,,,,,,1,,1,,,,,,,,,
1934,1,,,,,1,,1,,,,,,,,,
1935,,,,1,,,,,,1,,,,,,,
1937,,,,,,1,,,,,,2,,,,,1
1939,,1,,1,,,,,,,,,,,,,
1940,1,,,1,,,,,,,,,,,,,
1941,,,,,,,,,,1,,,,,,,
1942,,,,1,,,,,,1,,,,,,,1
1943,,,,2,,1,,,,,,,,,,,
1944,,,,1,,1,,,,,,,,,,,
1945,,1,,1,,,,,,,,,1,,,1,
1946,,,,1,,,,,,,,1,,,,,
1948,,,,,,,,,,,1,2,,,,,1
1950,,,,1,,1,,2,,,,1,,,,,
1951,,,,,,1,,,,,,1,,,,,
1953,,,,1,,1,,,,,,,,,,,
1954,,1,,,,,,,,,,,,,,,
1955,,1,,2,,,,,,,,,,,,,
1956,1,,,,,,,,,,,,,,,,
1957,,,,,,1,,,,,,1,,,,,
1959,,,,,,,,,,,,1,,,,,1
1960,,,,,,,,,,,,1,,,,,
1961,,,,1,,,,,,,,,,,,,
1962,,,,,,2,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,1,
1964,,,,,,1,,,,,,,,,,1,
1965,,,,,,1,,,,,,1,,,,,
1968,,,,,,1,,,,,,2,,,,,
1969,,,,,,,,,,,,,,,3,,
1970,,,,2,,1,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,1,
1972,,,,,,,,1,,,,1,,,,,
1973,,,,,,,,,,1,,,,,,,1
1974,,,,14,,8,,,,1,,4,,,,1,
1975,3,2,,12,,4,,,,4,,2,,1,3,,
1976,1,2,,17,,4,1,3,,2,1,2,,1,,,
1977,1,1,,7,,,,,,1,,,,2,,1,
1978,2,2,,9,,2,,1,,3,,6,,,1,1,
1979,4,3,,13,,14,,,,3,,6,,,1,1,
1980,1,,,9,1,3,,1,,1,,5,1,1,1,3,
1981,,1,,4,,5,,1,,3,,8,,,,,
1982,,3,,18,,10,,3,,,,7,,1,3,1,
1983,,6,,17,,5,,,,1,,9,,,2,,
1984,1,6,,5,,3,,2,,,,4,1,,1,4,
1985,1,2,,8,,3,,1,,5,,6,,,,,1
1986,,2,,10,,5,,3,,4,,5,,,,2,
1987,2,3,,4,1,4,,,,1,,2,,,2,,
1988,4,3,,16,,4,,4,,1,,4,,,1,,
1989,,1,,9,2,8,,4,,,1,4,,,3,2,
1990,,2,,5,,5,,4,,3,,6,,,1,,
1991,2,2,,7,,1,,1,,2,,9,,,5,,1
1992,,,,12,,7,,1,,,,6,,,,1,
1993,,2,,31,,6,,2,,3,,2,,,,,
1994,1,,,8,,4,,1,,,,12,,,1,,
1995,,3,,12,5,3,,10,,1,1,,,,,,
1996,,2,,12,,4,,2,,1,,13,,,1,,
1997,1,1,,19,,5,,4,,4,,4,1,,2,,
1998,,1,,12,,5,,1,,1,,4,,,1,,1
1999,1,2,,4,,2,,,,1,1,4,1,,1,,
2000,,2,,9,2,,,2,,3,,1,1,,,1,
2001,1,4,,16,2,5,,2,,2,,4,,,2,,
2002,1,2,,12,,11,,5,,1,,12,,,,,
2003,1,1,,5,4,1,,5,,3,,,,,1,1,
2004,2,6,,11,1,2,,2,,2,,9,,,,,1
2005,1,5,,4,1,,,1,,1,,2,1,,1,,
2006,,1,,7,2,2,,1,,2,,3,,1,,1,
2007,,10,,9,1,4,,3,,1,2,1,,,2,,2
2008,1,,,9,1,2,,,,1,,2,,,,1,
2009,1,6,,8,1,4,,9,,,,,1,,2,4,2
2010,5,2,,11,,1,,2,,,1,6,,,3,,
2011,3,5,,8,,4,,,,2,,3,,,3,1,3
2012,3,7,,28,,6,,1,,1,,13,,,1,2,
2013,,3,1,14,1,13,,,,1,,3,,1,,,
2014,4,3,,19,1,8,,4,,,,9,,,,,2
2015,,2,,14,,2,,2,,2,,4,1,,6,,
2016,1,,,11,,2,,10,,1,,9,,,1,,1
2017,,1,,35,2,7,,1,,,,34,1,,1,,1
2018,1,5,,9,,7,,4,,1,,16,,,,,1
2019,3,5,,15,1,2,,3,,2,,12,,,,,2
2020,2,1,,13,,5,,2,,,,12,,,1,,
