puesto,fechamag,estado,profundidad,ano,region
1,2017-09-07 (8.2),CHIS,45.9,2017,"140 km al SUROESTE de PIJIJIAPAN, CHIS "
2,1985-09-19 (8.1),MICH,15,1985,"45 km al NOROESTE de LA MIRA, MICH "
3,1995-10-09 (8.0),COL,25,1995,"10 km al SURESTE de MANZANILLO, COL "
4,1985-09-20 (7.6),GRO,17,1985,"25 km al NOROESTE de ZIHUATANEJO, GRO "
5,2003-01-21 (7.6),COL,9,2003,"46 km al SUROESTE de CD DE ARMERIA, COL "
6,2012-03-20 (7.5),GRO,18,2012,"46 km al SUR de OMETEPEC, GRO "
7,2020-06-23 (7.4),OAX,22.6,2020,"2 km al NORESTE de CRUCECITA, OAX "
8,1999-09-30 (7.4),OAX,39,1999,"22 km al NORESTE de PUERTO ESCONDIDO, OAX "
9,1982-06-19 (7.3),CHIS,74,1982,"335 km al SURESTE de CD HIDALGO, CHIS "
10,2012-11-07 (7.3),CHIS,17.1,2012,"74 km al SUR de CD HIDALGO, CHIS "
11,1995-09-14 (7.3),GRO,21,1995,"29 km al NOROESTE de OMETEPEC, GRO "
12,1981-10-24 (7.3),MICH,21,1981,"18 km al NORESTE de LAS GUACAMAYAS, MICH "
13,2014-04-18 (7.2),GRO,18,2014,"61 km al SUROESTE de PETATLAN, GRO "
14,1993-09-10 (7.2),CHIS,34,1993,"44 km al SUROESTE de HUIXTLA, CHIS "
15,2010-04-04 (7.2),BC,10,2010,"23 km al SURESTE de MEXICALI, BC "
16,2018-02-16 (7.2),OAX,16,2018,"14 km al SURESTE de PINOTEPA NACIONAL, OAX "
17,1997-01-11 (7.1),MICH,40,1997,"43 km al NOROESTE de LA MIRA, MICH "
18,2017-09-19 (7.1),PUE,51.2,2017,"8 km al NOROESTE de CHIAUTLA DE TAPIA, PUE "
